id,title,description,publisher,trove_url,download_text,issue_count,start_date,end_date,start_year,end_year,extent,place,issn,catalogue_url
nla.obj-8423556,"""Coo-ee!"""" : the journal of the Bishops Knoll Hospital","Bristol.""",,Partridge & Love Ltd.,https://nla.gov.au/nla.obj-8423556,https://trove-journals.s3.ap-southeast-2.amazonaws.com/coo-ee-the-journal-of-the-bishops-knoll-hospital-b-nla.obj-8423556.zip,13,1916-01-01,1917-10-20,1916,1917,1 v. ; ill. ; 25 cm.,,",https://nla.gov.au/nla.cat-vn377167"
nla.obj-2998991958,"(Ross's) Hobart Town almanack, and Van Diemen's Land annual.",,Printed by James Ross,https://nla.gov.au/nla.obj-2998991958,https://trove-journals.s3.ap-southeast-2.amazonaws.com/ross-s-hobart-town-almanack-and-van-diemen-s-land--nla.obj-2998991958.zip,1,1835-01-01,1835-01-01,1835,1835,2 volumes : illustrations ; 18 cm.,Tasmania,,https://nla.gov.au/nla.cat-vn610781
nla.obj-2998997061,(Ross's) Van Diemen's Land annual and Hobart Town almanack.,,Printed by James Ross,https://nla.gov.au/nla.obj-2998997061,https://trove-journals.s3.ap-southeast-2.amazonaws.com/ross-s-van-diemen-s-land-annual-and-hobart-town-al-nla.obj-2998997061.zip,1,1834-01-01,1934-01-01,1934,1934,1 volumes : illustrations ; 18 cm.,Tasmania,,https://nla.gov.au/nla.cat-vn2133206
nla.obj-15956697,14th Company magazine.,,14th Company.,https://nla.gov.au/nla.obj-15956697,https://trove-journals.s3.ap-southeast-2.amazonaws.com/14th-company-magazine-nla.obj-15956697.zip,1,0191-01-01,1918-06-14,1918,1918,v. ; 25 cm.,Australia,,https://nla.gov.au/nla.cat-vn585007
nla.obj-250818955,20 favourite & war-time camp songs [music].,,Sterling Music,https://nla.gov.au/nla.obj-250818955,https://trove-journals.s3.ap-southeast-2.amazonaws.com/20-favourite-war-time-camp-songs-music-nla.obj-250818955.zip,7,1940-01-01,,,,7 v. of music ; 29 cm.,,,https://nla.gov.au/nla.cat-vn2926496
nla.obj-24207812,24th Battalion journal.,,The Battalion,https://nla.gov.au/nla.obj-24207812,https://trove-journals.s3.ap-southeast-2.amazonaws.com/24th-battalion-journal-nla.obj-24207812.zip,1,1918-01-01,1918-09-16,1918,1918,v. ; 21 cm.,Australia,,https://nla.gov.au/nla.cat-vn194307
nla.obj-320275568,A Careta.,,'Kosmos,https://nla.gov.au/nla.obj-320275568,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-careta-nla.obj-320275568.zip,2,0019-01-01,1909-06-05,1909,1909,v. : ill. (some col.) ; 28 cm.,Brazil,,https://nla.gov.au/nla.cat-vn2045077
nla.obj-2881880379,A guide to the wild flowers,,Frederick A. Stokes,https://nla.gov.au/nla.obj-2881880379,,0,1899-01-01,,,,"xvii, 347 pages, [64] leaves of plates : illustrations (some colour) ; 20 cm.",United States,,https://nla.gov.au/nla.cat-vn79410
nla.obj-3089884707,"A short report on the evidence in the case of Regina v. Murphy : tried before His Honor Mr. Justice Cheeke, on the 19th, 20th and 21st August, 1867 : with the speech of W.B. Dalley, Esq., in defence of the prisoner",,"Gibbs, Shallard, Printers",https://nla.gov.au/nla.obj-3089884707,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-short-report-on-the-evidence-in-the-case-of-regi-nla.obj-3089884707.zip,1,1867-01-01,,,,20 pages ; 20 cm.,,,https://nla.gov.au/nla.cat-vn959384
nla.obj-2905264494,A.H. Massina & Co's weather almanac and general guide and handbook for Victoria for ... with calendar and map of railway systems.,,A.H. Massina & Co.,https://nla.gov.au/nla.obj-2905264494,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-h-massina-co-s-weather-almanac-and-general-guide-nla.obj-2905264494.zip,12,1864-01-01,1894-01-01,1880,1894,31 volumes : map ; 22 cm.,Victoria,,https://nla.gov.au/nla.cat-vn681259
nla.obj-3086457649,A.H. Massina & Co's weather almanac for ... : with wall calendar and railway maps ...,,A.H. Massina & Co.,https://nla.gov.au/nla.obj-3086457649,https://trove-journals.s3.ap-southeast-2.amazonaws.com/a-h-massina-co-s-weather-almanac-for-with-wall-cal-nla.obj-3086457649.zip,9,1895-01-01,1903-01-01,1895,1903,25 volumes : maps ; 22 cm.,Victoria,,https://nla.gov.au/nla.cat-vn681252
nla.obj-890736639,ABC weekly,,ABC,https://nla.gov.au/nla.obj-890736639,https://trove-journals.s3.ap-southeast-2.amazonaws.com/abc-weekly-nla.obj-890736639.zip,1033,1939-01-01,1959-10-28,1939,1959,v. : ill. ; 29cm.,Australia,,https://nla.gov.au/nla.cat-vn1147658
nla.obj-254636277,ANARE reports. Series B.,,"Antarctic Division, Dept. of External Affairs.",https://nla.gov.au/nla.obj-254636277,https://trove-journals.s3.ap-southeast-2.amazonaws.com/anare-reports-series-b-nla.obj-254636277.zip,2,1952-01-01,1959-11-30,1955,1959,v. : ill. ; 25cm.,Antarctic Ocean; Antarctica,0567-0810,https://nla.gov.au/nla.cat-vn1386635
nla.obj-2836256024,ANZHES journal.,,,https://nla.gov.au/nla.obj-2836256024,https://trove-journals.s3.ap-southeast-2.amazonaws.com/anzhes-journal-nla.obj-2836256024.zip,16,1972-01-01,1979-10-01,1972,1979,volume; 21 cm.,Australia New Zealand,0311-3248,https://nla.gov.au/nla.cat-vn2131272
nla.obj-288413164,Abstract of the ... report of the London Missionary Society for the year ending ...,,London Missionary Society.,https://nla.gov.au/nla.obj-288413164,https://trove-journals.s3.ap-southeast-2.amazonaws.com/abstract-of-the-report-of-the-london-missionary-so-nla.obj-288413164.zip,1,0018-01-01,1884-01-01,1884,1884,v. ; 22 cm.,,,https://nla.gov.au/nla.cat-vn102215
nla.obj-3090746263,"Account of the proceedings of the Australasian Library Conference : together with the papers read, list of delegates, etc., and the constitution and office bearers of the Library Association of Australasia.",,Government Printer,https://nla.gov.au/nla.obj-3090746263,,0,1896-01-01,,,,1 v. ; 28 cm.,,,https://nla.gov.au/nla.cat-vn977090
nla.obj-321169907,Action front : journal of the 2/2 Field Regiment.,,The Regiment,https://nla.gov.au/nla.obj-321169907,https://trove-journals.s3.ap-southeast-2.amazonaws.com/action-front-journal-of-the-2-2-field-regiment-nla.obj-321169907.zip,2,1940-01-01,1946-07-01,1943,1946,v. : ill. ; 31 cm.,Australia,,https://nla.gov.au/nla.cat-vn212038
nla.obj-806514451,Activities,,Australian Govt. Pub. Service.,https://nla.gov.au/nla.obj-806514451,https://trove-journals.s3.ap-southeast-2.amazonaws.com/activities-nla.obj-806514451.zip,4,1988-01-01,1991-06-30,1988,1991,4 volumes ; 25 cm.,Australia,,https://nla.gov.au/nla.cat-vn655983
nla.obj-54185597,Acts of Parliament of Victoria ...,,Govt. Printing Office,https://nla.gov.au/nla.obj-54185597,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-of-parliament-of-victoria-nla.obj-54185597.zip,4,1857-01-01,1890-02-01,1864,1890,v. ; 29-33 cm.,,,https://nla.gov.au/nla.cat-vn256037
nla.obj-54127737,Acts of the Parliament : passed in the first year of the reign of his majesty King Edward the seventh ...,,"By authority, Robt. S. Brain, Government Printer",https://nla.gov.au/nla.obj-54127737,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-of-the-parliament-passed-in-the-first-year-of-nla.obj-54127737.zip,15,1901-01-01,1984-02-01,1906,1984,v. ; 23 cm.,Victoria,,https://nla.gov.au/nla.cat-vn2196536
nla.obj-2878129271,Wood's V.D. Land almanack and law and commercial daily remembrancer.,,James Wood,https://nla.gov.au/nla.obj-2878129271,https://trove-journals.s3.ap-southeast-2.amazonaws.com/wood-s-v-d-land-almanack-and-law-and-commercial-da-nla.obj-2878129271.zip,3,1838-01-01,1846-01-01,1838,1846,9 volumes ; 15 cm.,Tasmania,,https://nla.gov.au/nla.cat-vn630002
nla.obj-3050340132,Words : a literary magazine.,,Balmain Teachers' College,https://nla.gov.au/nla.obj-3050340132,,0,1946-01-01,,,,v. ; 21cm.,New South Wales,,https://nla.gov.au/nla.cat-vn2860517
nla.obj-2911110147,Workshop : poetry and practical criticism.,,University of Melbourne Extension Board,https://nla.gov.au/nla.obj-2911110147,https://trove-journals.s3.ap-southeast-2.amazonaws.com/workshop-poetry-and-practical-criticism-nla.obj-2911110147.zip,1,1946-01-01,1948-01-01,1948,1948,"2 v, ; 22-28 cm.",Australia,,https://nla.gov.au/nla.cat-vn2890021
nla.obj-2885650322,Wragge's Australasian almanac and weather guide for land and sea.,,Sapsford.,https://nla.gov.au/nla.obj-2885650322,https://trove-journals.s3.ap-southeast-2.amazonaws.com/wragge-s-australasian-almanac-and-weather-guide-fo-nla.obj-2885650322.zip,3,1898-01-01,1902-01-01,1898,1902,v. : ill. ; 19cm.,,,https://nla.gov.au/nla.cat-vn2761394
nla.obj-268798653,Yacca,,The College,https://nla.gov.au/nla.obj-268798653,https://trove-journals.s3.ap-southeast-2.amazonaws.com/yacca-nla.obj-268798653.zip,1,1980-01-01,1989-01-01,1989,1989,v. : ill. ; 30 cm.,,,https://nla.gov.au/nla.cat-vn1873689
nla.obj-3050339934,Ye Wayside goose : a journal of intelligence.,,The Waysiders.,https://nla.gov.au/nla.obj-3050339934,,0,0190-01-01,,,,v. : ill. ; 20-25 cm.,,,https://nla.gov.au/nla.cat-vn2175445
nla.obj-3050340396,Ye kangaroo : quaint journal.,,s.n.],https://nla.gov.au/nla.obj-3050340396,,0,0190-01-01,,,,v. : ill. ; 16-20 cm.,,,https://nla.gov.au/nla.cat-vn1193633
nla.obj-320885832,Ye olde brigade : a monthly paper devoted to the interests of the 1st Australian Infantry Regiment.,,1st Australian Infantry Regiment,https://nla.gov.au/nla.obj-320885832,https://trove-journals.s3.ap-southeast-2.amazonaws.com/ye-olde-brigade-a-monthly-paper-devoted-to-the-int-nla.obj-320885832.zip,6,1905-01-01,1905-12-01,1905,1905,v. ; 19 cm.,Australia,,https://nla.gov.au/nla.cat-vn3028129
nla.obj-2942267018,Year book,,The Institute,https://nla.gov.au/nla.obj-2942267018,https://trove-journals.s3.ap-southeast-2.amazonaws.com/year-book-nla.obj-2942267018.zip,1,1928-01-01,1931-01-01,1931,1931,,Australia,,https://nla.gov.au/nla.cat-vn2245868
nla.obj-287237927,Year book of the Evangelical Lutheran Mission in New Guinea.,,Wartburg Publishing House,https://nla.gov.au/nla.obj-287237927,https://trove-journals.s3.ap-southeast-2.amazonaws.com/year-book-of-the-evangelical-lutheran-mission-in-n-nla.obj-287237927.zip,1,1926-01-01,1926-01-01,1926,1926,v. ; 23cm.,Papua New Guinea,,https://nla.gov.au/nla.cat-vn591036
nla.obj-3095242188,Year book of the Royal Australian Institute of Architects.,,The Institute,https://nla.gov.au/nla.obj-3095242188,https://trove-journals.s3.ap-southeast-2.amazonaws.com/year-book-of-the-royal-australian-institute-of-arc-nla.obj-3095242188.zip,16,0193-01-01,1962-01-01,1938,1962,v. : ill. ; 28 cm.,Australia,,https://nla.gov.au/nla.cat-vn893169
nla.obj-3050325075,Yesterday & most of today.,,C. William.,https://nla.gov.au/nla.obj-3050325075,https://trove-journals.s3.ap-southeast-2.amazonaws.com/yesterday-most-of-today-nla.obj-3050325075.zip,9,1932-01-01,1934-03-01,1933,1934,volumes ; 18 cm.,,,https://nla.gov.au/nla.cat-vn1643749
nla.obj-3095030785,Your home in W.A.,,Imperial Print,https://nla.gov.au/nla.obj-3095030785,https://trove-journals.s3.ap-southeast-2.amazonaws.com/your-home-in-w-a-nla.obj-3095030785.zip,7,1947-01-01,1948-05-01,1947,1948,v. : ill. ; 28 cm.,,,https://nla.gov.au/nla.cat-vn1827662
nla.obj-60535517,Zhong xi jiao hui bao,,Society for the Diffusion of Christian and General Knowledge among the Chinese,https://nla.gov.au/nla.obj-60535517,https://trove-journals.s3.ap-southeast-2.amazonaws.com/zhong-xi-jiao-hui-bao-nla.obj-60535517.zip,24,1891-01-01,,,,v. ; 30 cm.,,,https://nla.gov.au/nla.cat-vn514201
nla.obj-60418801,Zhong xi wen jian lu.,,s.n.],https://nla.gov.au/nla.obj-60418801,https://trove-journals.s3.ap-southeast-2.amazonaws.com/zhong-xi-wen-jian-lu-nla.obj-60418801.zip,32,1872-01-01,,,,v. : ill. ; 27 cm.,,,https://nla.gov.au/nla.cat-vn514067
nla.obj-54933471,[Acts].,,Govt. Printer of the Northern Territory,https://nla.gov.au/nla.obj-54933471,https://trove-journals.s3.ap-southeast-2.amazonaws.com/acts-nla.obj-54933471.zip,2,1978-01-01,1994-01-01,1983,1994,v. ; 25 cm.,Northern Territory,,https://nla.gov.au/nla.cat-vn427257
nla.obj-3193629693,[Australian medical pamphlets].,,,https://nla.gov.au/nla.obj-3193629693,https://trove-journals.s3.ap-southeast-2.amazonaws.com/australian-medical-pamphlets-nla.obj-3193629693.zip,1,1855-01-01,,,,35 v. ; 21-32 cm,,,https://nla.gov.au/nla.cat-vn1716521
nla.obj-773155481,[Magazine],,Daramalan College.,https://nla.gov.au/nla.obj-773155481,https://trove-journals.s3.ap-southeast-2.amazonaws.com/magazine-nla.obj-773155481.zip,58,1957-01-01,2017-01-01,1962,2017,v. : ill. ; 29 cm.,,,https://nla.gov.au/nla.cat-vn2643237
nla.obj-526663409,[Magazine],,Northern Peninsula Area State College,https://nla.gov.au/nla.obj-526663409,https://trove-journals.s3.ap-southeast-2.amazonaws.com/magazine-nla.obj-526663409.zip,4,2005-01-01,2017-01-01,2007,2017,volumes : illustrations (some colour) ; 30 cm,Queensland,,https://nla.gov.au/nla.cat-vn7083997
nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],,[New South Wales Coastal Conference],https://nla.gov.au/nla.obj-489106103,https://trove-journals.s3.ap-southeast-2.amazonaws.com/program-abstracts-book-nsw-coastal-conference-nla.obj-489106103.zip,12,2005-01-01,2016-11-09,2005,2016,online resource : illustrations,New South Wales,,https://nla.gov.au/nla.cat-vn7422493
