id,title,location,volume,issue,date
nla.obj-8423556,Coo-ee the journal of the Bishops Knoll Hospital,Bristol,13,1,1916-01-01
nla.obj-2998991958,Ross Hobart Town almanack and Van Diemens Land annual,Tasmania,1,1,1835-01-01
nla.obj-2998997061,Ross Van Diemens Land annual and Hobart Town almanack,Tasmania,1,1,1834-01-01
nla.obj-15956697,14th Company magazine,Australia,1,1,1918-01-01
nla.obj-250818955,20 favourite and war-time camp songs,,7,1,1940-01-01
nla.obj-24207812,24th Battalion journal,Australia,1,1,1918-01-01
nla.obj-320275568,A Careta,Brazil,2,1,1909-01-01
nla.obj-2881880379,A guide to the wild flowers,United States,0,1,1899-01-01
nla.obj-3089884707,A short report on the evidence in the case of Regina v Murphy,,1,1,1867-01-01
nla.obj-2905264494,Massina weather almanac Victoria,Victoria,12,1,1864-01-01
nla.obj-890736639,ABC weekly,Australia,1033,1,1939-01-01
nla.obj-254636277,ANARE reports Series B,Antarctica,2,1,1952-01-01
nla.obj-2836256024,ANZHES journal,Australia New Zealand,16,1,1972-01-01
nla.obj-288413164,Abstract of the London Missionary Society report,,1,1,1884-01-01
nla.obj-3090746263,Australasian Library Conference proceedings,,0,1,1896-01-01