id,title,location,publisher
nla.obj-8423556,Coo-ee the journal of the Bishops Knoll Hospital,Bristol,Partridge & Love Ltd.
nla.obj-2998991958,Ross Hobart Town almanack and Van Diemens Land annual,Tasmania,Printed by James Ross
nla.obj-2998997061,Ross Van Diemens Land annual and Hobart Town almanack,Tasmania,Printed by James Ross
nla.obj-15956697,14th Company magazine,Australia,14th Company.
nla.obj-250818955,20 favourite and war-time camp songs,,Sterling Music
nla.obj-24207812,24th Battalion journal,Australia,The Battalion
nla.obj-320275568,A Careta,Brazil,Kosmos
nla.obj-2881880379,A guide to the wild flowers,United States,Frederick A. Stokes
nla.obj-3089884707,A short report on the evidence in the case of Regina v Murphy,,Gibbs Shallard Printers
nla.obj-2905264494,Massina weather almanac Victoria,Victoria,A.H. Massina & Co.
nla.obj-890736639,ABC weekly,Australia,ABC
nla.obj-254636277,ANARE reports Series B,Antarctica,Antarctic Division
nla.obj-2836256024,ANZHES journal,Australia New Zealand,
nla.obj-288413164,Abstract of the London Missionary Society report,,London Missionary Society
nla.obj-3090746263,Australasian Library Conference proceedings,,Government Printer